gender,educ,2000-2004,2016-2020,2032-2036
men,basic,25.889982404481497,27.901100809883854,30.076054118843132
men,secondary,27.637850016291402,29.675837136742434,31.908270771072704
men,tertiary,30.393533323608466,32.64971743704808,35.104014256292885
men,total,27.589302399136727,30.17108545024876,32.90013668135087
women,basic,32.67723097672524,33.56302833077162,35.12841997811388
women,secondary,34.68119449103929,35.64305021044519,37.2426232554688
women,tertiary,36.362207493459024,37.910497238770844,39.86680474395568
women,total,34.21343800507219,36.15496186800066,38.519972574606506
