educ,HLE_f,HLE_m,prev_m,prev_f,HLE_d,HLE_avg,prev_avg,prev_d,structure_effect,rate_effect
basic,34.095496020273536,28.18124137495454,0.15515515515515516,0.07900000000000001,5.914254645318998,31.138368697614037,0.11707757757757759,-0.07615515515515514,-2.371347299445223,0.6924266070508835
intermediate,36.01760241857938,30.001901887666854,0.46946946946946944,0.35400000000000004,6.015700530912525,33.00975215312312,0.41173473473473476,-0.1154694694694694,-3.8116185684398016,2.4768728623388716
tertiary,38.28057774482275,32.97783383332918,0.37537537537537535,0.5670000000000001,5.302743911493572,35.62920578907597,0.4711876876876877,0.1916246246246247,6.827433185005188,2.4985876420566204
